year,null,Agent 99,Agent X,Akeem,Uncle Al,Angel D. Monique,Ani,Anoush Ella,"Anubis, God of Jackals",Ann Arbor,Arno X,Asa,Austin Space,Bad Daddy,Belladonna,Sarah Bellum,Fred Renard,Maskatron,Bixote,Blackheart,Ice Blaze,Crystal Blue,Boo Radley,Bootz,Daryl Licht,Strange Lee Brown,Monkey Punch,Buster,Andy Cadaver,Caramellow,M.C. Christ,J.C. Clone,Crimson Retrospect,Harry Cross,Cujo,Dr Brother Goat Cult,Curtis Jay,Krzton Drda,Cy Thoth,Count Zero,The Reverend Dah Wav,Dangerous Dan,Arthur Dent,Big Myke Destiny,Jack Diamond,Jack Diddly,Dinsdale,Phil Dirt,Pete Dixon,Mad Michael P,D. Mic,Johnny Dollar,Dorian Gray,Shawn Dupree,Tony DuShane,Earwig,Eeyore,Ein,Robert Emmett,Dave Emory,Nothing Man,Fitz Ludlow,Tom Foolery,Guy Forget,Joe Friday,Frieda Leave,Frahm de Future,G Squared,Gallium Arsenide,The Garbage Man,Mr. Green Genes,Martinez,Gimp Ferret,Dr. Goatcult,John Goldfarb,Zero Gravity,Grawer,Jack-in-the-Green,Vinny Fink,The Grinch,Groundswell,Solomon Grundy,Guido,Hairy Kari,Hank Ten,Mr. Hate,The Mad Hatter,Hawkeye Joe,Thurston Hunger,Hunter Gatherer,Ira F. Brilliant,Iris Osiris,Pierce Payne,Japanic,Joe Ed Dick,Justin Outlier,Kalvin Krebs,Art Crimes,Kevin O`Dante,George Foothill,Kaye Effigy-Sea,kj Dweller,Stanley Kup,Leia Organa,Ronnie Libido,Bob San,Lister,Dustin Lungs,Logan 5,Lola,Cynthia Lombard,Roland Blunt,Mr. Lucky,Mac,Les Ismoore,DJ Manic,Maybelline,Sophie Blue,Morris Minor,Miss Fit,Mitch LeMay,The Mole,Mona Lott,Monchichi,Monster Zero,Phillip Morris,Motormouth,Ms. Tiza,Terry Tyke,Mud Luscious,Mz. Fyre,Nancy Reagan,Natasha,The Nights,Nozmo King,Teachers AIDS,Ophelia Necro,Optimus,Oscar Hox,Tara Paige,Pandora Vox,Peggy O,Phlebas the Phoenician,Pillar of Salt,Eddie Pombo,Quantum Leap,Ras Babo,Ray X,R Beast,Reject Girl,Dave Richoux,Rocket J Squirrel,Rocky Rococo,Anthony Fremont,The Zoo Keeper,Dave Rose,Toni Rumori,Regis Hyde,Dave Saxon,Seafood Bob,Silent Partner,Skokiian Guy,Slade Grantham,Sluggo,Jack Soil,Spiderman,Spliff Skankin,Sprink,Stingray,Doctor Strange,Earl Grey,Max Level,Trinity,Dominic Trix,Ned Walker,Gram Sayles,Dave Wohlman,Goodwrench,Doc Zira,Zzzzz,Neil Grovel,Numa,Zoltan,Cinderaura,Galaxie 500,Sailor Dave,Lou Nautique,Nic Electro,TNT,Nyqui Nyquil,Jawbone,Jordan,Giant Catfish,Cap'n Jack,From The Vault,Harry Haller,SAL 9000,Queen Chalice,Mookie,Misha Cub,Pax Humana,DJ Autumn,Rowan Hawthorn,Cadillac Margarita,Cousin Mary,Nick Sputnik,Dada Diogenes,Tyler Martin,Sophia Sage,Bump Analog,Animal Gin,Johnny Darko,Tekton,moodkiller,Thom Ankhs,Craig Bentley,Marlena Poliatevska,C.H. Skewer,Dark Helmet,Page of Wands,josie d.,Haack,Cat Collider,Rarus Avis,Nile Skism,Sally Goodin,Pocatello Yardmaster,Sports Middle,Thoughtline,Apollo Hades,Screamin' Janie Freeman,HackersMuse,Mercury,theJestre,Wil Crusher,Olmec,Josh Griffith,Ed Tide,Sir Cumference,Train Wreck,Baileytron,Vic Vegas,pArcel pOst,Orpheus,Jazz Collective,Eric Blair,Mr Sandman,Resykle,Curtis Kimby,Leo the Lion,Magic Jack,johnald mcdonald,George Spelvin,Surfer Rosa,Nicky Gee,Andy Wiggin,Donovan Sterling,Victoria West,Shark Starr I,Melody,Dianthus,Valonne,abacus finch     ,Mickey Slim,Laethaka,DJ Sp3shial Option,Scanner Darkly,Jersey Girl,Muad dib,Casper Marie,Soul Patrol,Mr. Wrong,Emma Dilemma ,Greta Clue,Thee Opinataur,Theta Thales,Fats Terminal,Lord Gravestench,Eddie Abandon,John Lilly,Serendipity,Portuguese Water Dog,Pope Dope,Space E,Francis Ambulance,Fiddle Andabow,Guy Incognito,Slowdivine,Ben Zedrine,Naysayer,Audiophile Archive,Ritz Zamboni,Mann The General,Honey Bear,Carson Street,Paulsky,Chuck Taylors,Buzzy,Edison Einstein,Fox Populi,Scab Pickens,DJ Click,Sly Masterson,Public Domain,Hell'n Hairspray,Selector,Bob Lindsey,Dirty Frank,Leela Dax,Billie Joe Tolliver,Lady Labyrinth,Sid Badguy,Mr Slippy,Lurker,Rat King,The Window,Pants,Human,Noah Countability,mouthbreather,Kodama,R Duck,Bateson Belfry,Peter Doubt,Hemroid the Leader,Morada,Dennis O,Ragdoll,Avakhov,Mind Surfer,Anomaly,Dylan Tante,Mance,Louie Caliente,Arcanum,Double Felix,Dusty Rhodes,Dani Max,Abaza,Iota,Social Norm,Droll,Devlyn,Herb Rockwell,Art Deco,Milo Minderbender,Lexi Glass,Tim Horton,Alizarin Crim,Moloko Plus,Johnny Mnemonic,Jim Hunter,Jack Tar,Cocktailsfor2,Mr. O,Les Payne,Swamp Bunny,Monotone Heroine,Dog Person,Phil Phactor,Carpet Crawler,Kato,Poor Kitten,Self Titled,dr doug,Austereo,Otto Tune,Tori Roman,Katie 2,Pony,D Artagnan,Betsy,Skynation,Lucky Jae,Whinger,Slartibartfast,Medusa of Troy,Buddy Love,Kimbrosia,Apparition,Bully Demise,Atavist,Scott Free,Earth Tide,Quimera,Mystery Girl,DJB,Terra Incognita,Bryan Chandler,Merk,TxC,KFJC Penny Pitch,KFJC Remote Broadcast,Cassidy,Jay Omega,Robin Banks,Comedown Kid,Buck Wilde,KFJC archive rebroadcast,KFJC archive rebroadcast 2,Kfjc Archive Rebroadcast 3,Gonk The Computer
1996,0,8,0,3,41,0,0,0,74,58,35,0,0,0,0,0,0,12,0,0,0,0,0,0,3,10,0,15,28,0,0,43,3,0,0,0,7,0,0,0,17,0,2,44,45,3,43,47,43,0,0,0,0,0,0,0,1,0,50,0,0,9,0,48,0,55,0,0,0,0,0,0,0,51,15,52,38,0,41,0,0,54,0,48,10,54,0,6,55,0,0,0,0,0,52,0,0,0,14,120,0,12,0,47,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,6,62,0,0,0,0,0,0,0,0,0,0,0,0,48,28,22,49,0,0,18,0,45,0,0,0,28,46,0,0,0,0,0,0,0,0,0,0,25,0,0,60,46,12,0,27,31,0,0,62,56,31,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,0,2,0,11,53,28,0,0,63,46,59,0,0,0,0,15,0,10,0,0,0,0,0,0,1,75,0,42,2,0,0,37,3,7,0,0,5,0,0,0,2,0,1,44,50,0,37,50,46,0,0,0,0,0,0,0,5,0,53,0,0,0,0,33,0,17,0,0,0,0,0,0,0,47,78,48,43,0,44,0,0,51,0,15,1,47,0,12,55,0,4,0,0,0,51,0,0,0,5,68,0,4,3,28,0,10,9,0,0,0,0,0,0,0,0,0,14,0,0,0,0,39,0,0,60,50,0,0,0,0,0,0,0,0,0,0,0,0,71,4,53,46,0,0,0,0,53,0,0,3,54,51,0,0,0,0,0,0,0,0,0,0,0,0,26,58,45,0,0,36,21,0,0,56,38,40,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,0,0,0,11,14,41,0,0,60,53,0,0,0,0,3,30,0,1,0,0,26,5,16,0,0,26,0,70,2,0,0,16,0,0,0,3,0,0,0,0,0,0,0,51,42,0,46,47,52,0,0,0,0,0,0,0,1,0,52,0,0,0,0,0,0,7,0,0,0,0,14,0,0,27,77,44,40,41,46,0,0,19,0,19,0,47,0,8,53,0,0,0,0,27,50,0,0,0,5,55,0,34,0,6,0,7,23,0,0,0,3,48,0,0,0,0,65,0,0,0,4,7,0,0,63,48,10,0,0,0,0,0,0,0,6,0,0,0,41,0,54,46,0,0,0,0,6,0,0,24,69,60,53,0,0,0,0,0,0,0,0,0,0,0,48,57,57,1,0,23,27,0,0,52,17,35,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,0,1,0,5,11,22,0,0,57,49,1,0,0,0,0,1,0,0,0,15,20,15,57,0,0,0,24,14,3,0,4,9,0,0,0,7,1,0,0,0,0,2,1,57,25,0,22,48,57,0,0,0,1,0,0,14,0,0,49,0,0,0,0,2,0,10,0,0,0,0,1,0,0,16,54,44,45,4,15,1,0,4,5,45,0,38,0,15,51,0,0,0,3,31,53,0,0,0,2,68,0,4,0,0,0,4,0,0,0,0,47,95,0,0,2,0,52,0,0,0,103,1,0,0,38,25,19,0,0,0,0,0,0,7,2,0,0,11,44,0,51,44,0,23,1,0,0,0,0,55,50,45,56,0,0,0,0,0,72,0,0,0,0,0,51,50,56,0,0,4,43,17,6,43,16,8,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,1,0,4,49,43,0,0,44,57,0,0,0,0,0,0,0,0,0,0,0,2,51,0,1,8,32,1,11,0,1,8,0,0,0,2,0,0,0,5,0,17,11,48,2,0,0,49,48,0,0,0,27,0,0,18,0,0,51,0,0,0,14,0,0,8,0,0,13,9,0,1,0,2,68,46,35,0,5,0,0,5,9,12,0,40,0,27,44,0,0,13,30,49,54,0,20,0,1,122,0,4,0,0,0,5,0,0,3,0,36,65,0,0,11,0,52,0,0,0,74,0,0,0,9,2,0,0,0,0,0,0,0,0,26,0,0,4,42,0,52,44,0,45,7,0,0,0,0,51,48,41,52,26,0,0,23,0,84,0,0,0,0,0,38,50,67,0,0,8,25,43,24,41,0,11,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,2,0,2,56,44,0,0,52,60,0,0,0,0,0,0,0,0,0,0,0,0,63,0,2,0,0,0,12,0,0,11,0,0,0,1,0,0,0,2,0,0,2,63,0,0,1,45,50,0,26,0,17,0,0,0,0,0,57,0,0,0,0,0,0,14,0,0,65,42,0,0,0,8,71,41,38,0,9,0,0,13,2,1,0,11,0,62,51,0,0,43,4,49,51,0,58,0,4,41,0,16,0,1,0,6,0,0,29,0,40,58,0,0,0,0,41,0,0,4,67,0,0,0,15,6,0,0,20,0,9,0,0,0,54,38,27,0,33,0,29,42,21,63,0,0,4,0,3,26,62,5,16,61,1,0,20,0,22,0,0,0,0,0,6,0,77,0,0,8,5,33,41,40,0,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,3,0,0,55,11,0,0,55,59,0,0,20,4,49,0,0,0,0,0,0,0,63,15,5,0,1,0,3,0,0,8,0,0,0,0,0,0,0,2,0,7,2,6,0,0,0,46,47,0,0,11,4,0,1,0,0,0,72,0,0,0,0,0,0,26,0,0,51,36,0,0,0,4,84,45,45,0,9,0,0,5,0,0,0,3,0,19,55,0,0,23,0,52,52,0,57,11,15,36,0,50,0,0,0,2,0,0,9,6,36,142,0,0,0,0,53,10,0,8,78,0,0,0,9,23,2,5,59,0,15,0,0,0,11,70,73,5,42,0,4,46,13,68,4,0,1,0,0,2,56,4,5,47,2,0,0,0,0,0,0,0,0,0,5,0,78,0,0,8,1,45,38,52,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,61,3,0,0,58,59,0,0,5,8,41,0,3,0,0,0,0,0,42,18,8,0,0,0,3,14,0,2,0,0,0,0,0,0,0,0,0,109,0,17,0,0,0,47,50,0,0,26,1,0,2,0,0,0,54,0,0,0,0,0,17,11,0,0,50,25,0,0,0,2,78,43,39,0,24,0,0,15,0,0,0,1,0,21,50,0,0,14,0,59,54,0,17,24,49,33,1,49,0,0,0,12,0,0,1,3,37,51,0,0,0,0,47,16,55,0,75,0,0,0,1,10,0,45,40,0,3,5,14,0,12,30,75,9,44,0,17,49,1,37,1,12,0,35,0,7,47,6,8,49,0,0,0,0,0,0,10,0,0,0,0,0,82,0,0,0,0,37,42,54,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,1,8,0,63,0,3,7,53,61,0,3,9,1,40,0,0,0,13,0,0,0,11,8,3,0,0,0,2,7,0,2,0,0,33,0,0,0,0,0,0,131,0,2,0,0,0,43,54,0,0,13,0,0,0,0,0,10,75,15,10,0,0,0,11,3,0,22,48,3,0,0,13,2,72,48,43,0,3,0,34,2,0,0,0,2,10,21,26,25,0,0,0,9,53,0,10,32,6,12,0,42,0,0,0,4,0,0,2,0,33,7,62,8,0,0,39,0,79,0,75,0,0,41,4,0,0,49,37,21,0,7,26,0,35,9,59,0,45,0,3,51,2,4,1,2,0,3,0,2,46,10,20,71,0,6,0,12,0,12,7,4,0,0,0,0,63,0,65,0,1,43,46,46,0,45,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
